"soc_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","90","94","112","201","Family","autotyp.area"
"Aa1","8","2","0","0","0","2","8","7","2","9","2","2","9","11","4","9","1","1","1","1","2","9","7","8","15","9","3","1","1","1","1","3","1","3","2","3","1","2","1","1","1","1","6","9","9","1","9","9","6","5","1","9","9","9","10","10","9","10","10","9","9","9","10","10","10","1","9","1","9","1","1","1","1","1","9","1","9","1","2","2","11","2","8","1","2","11","5","8","2","11","1","1","kxaa1236","S Africa"
"Aa2","4","6","0","0","0","1","8","1","1","8","1","8","9","11","6","1","4","4","1","1","9","9","8","7","15","9","6","1","1","1","1","2","1","1",NA,"3","7",NA,"1","1","1","3","1","9","9","6","9","9","6","5","1","9","9","9","10","10","9","10","10","9","9","9","10","10","10","1","9","1","9","1","1","7","5","7","4","5","1",NA,"2","2","11","2","8",NA,NA,NA,NA,NA,"2","69","8","2","nilo1247","S Africa"
"Aa3","1","3","1","5","0","4","1","2","2","9","1","8","9","11","6","1","4","4","1","1","9","9","1","3","15","9","5","1","1","1","3","2","2","1","8","3","1","2","1","7","2","4","1","1","9","5","6","9","3","6","1","1","3","9","9","10","9","9","10","9","9","9","9","9","10","2","9","1","9","1","1","1","1","1","9","7","4","4","2","2","11","2","7",NA,NA,NA,NA,NA,"4","11","8","1","khoe1240","S Africa"
"Aa5","3","7","0","0","0","5","1","2","2","12","2","12","3","9","4","9","1","1","1","1","1","9","12","5","15","9","4","1","1","1","3","2","1","1","2","5","6","4","1","1","1","3","6","9","9","9","9","9","6","6","2","9","9","9","10","10","10","10","10","9","9","9","10","10","10","1","9","1","9","1","1","9","9","1","9","7",NA,"6","2","2","11","2","8",NA,NA,NA,NA,NA,"2","11","8","2","atla1278","S Africa"
"Aa7","7","3","0","0","0","3","8","2","2","2","2","12","3","9","4","9","1","1","1","1","1","9","8","7","15","9",NA,"1","1","1","1","2","1","2",NA,"6","1",NA,"1","1","1","1","6","9","9","1","9","9","6","6","1","9","9","9","10","10","9","10","10","9","9","9","10","10","10","1","9","1","9","1","1","1","1","1","9","1","9",NA,"1","2","11","5","8",NA,NA,NA,NA,NA,NA,NA,NA,"1","khoe1240","S Africa"
"Aa9","6","4","0","0","0","1","8","7","2","2","2","2","9","11","3","9","1","1","1","1","1","9",NA,NA,NA,NA,NA,"1","1","1","1","3","1","1","5",NA,"1",NA,"1","1","1","1","6","9","9","9",NA,"9","6","6","1","9","9","9","10","10","10",NA,"10","9","9","9","10","10","10","1","9","1","9","1","1","4","5","1","9","6",NA,NA,"2","2","11","2","8",NA,NA,NA,NA,NA,NA,NA,NA,"2","hadz1240","S Africa"
"Ab1","1","3","0","6","0","1","8","7","5","10","1","10","9","1","4","9","5","4","4","4","9","9","1","3","3","3","5","1","1","1",NA,"3","1",NA,NA,NA,"10","2","1","7","2","4","2","1","9","1",NA,"9",NA,"6","1","9","4","9","3","10","9",NA,"10",NA,"9","9","10","9","10","2","9","1","9","4","2","1","2","1","9","3","4",NA,"2","2","11","3","2",NA,NA,NA,NA,NA,"2","12","3","2","atla1278","S Africa"
"Ab10","0","0","0","5","5","1","8","7","5","8","1","8","9","11","4","9","4","4","1","1","9","9","8","7","15","9","5","5","6","5",NA,"3","3","1",NA,"5","1",NA,"2","7","2","8","1","1","9","1","6",NA,"2","6","1","2","2","5","3","10","9","9",NA,"9","9","9","9","9","9","2","9","1","9","1","1","1","1","7","4","7","4","6","2","2","11","3","8","2","2","2","4","8",NA,NA,"1","2","atla1278","S Africa"
"Ab11","1","1","0","3","5","1","8","5","5","8","1","8","9","11","3","9","4","4","1","1","9","9","8","7","15","9","5","3","5","5",NA,"3","4",NA,"5",NA,"7",NA,"2","7","2","6","1","1","9","1","6",NA,NA,"6","1",NA,"1","5","3","10","9","9",NA,NA,"9","9",NA,"9","9","4","2","1","9","1","1","1","1","7","4","7","4",NA,"2","2","11","3","8",NA,NA,NA,NA,NA,NA,NA,"3","2","atla1278","S Africa"
"Ab12","0","1","0","4","5","1","8","7","5","8","1","8","9","11","6","1","4","4","1","1","9","9","7","8","15","9","5","3","6","5",NA,"3","4",NA,NA,NA,"1","5","1","7","2","6","1","1","9","1","6","1","1","9","1","9","1","5","3","10","9","9","9","9","10","9","10","9","9","4","9","1","9","1","1","1","1","7","4","7","4",NA,"2","2","11","3","8",NA,NA,NA,NA,NA,NA,NA,"4","2","atla1278","S Africa"
"Ab13","0","1","0","4","5","1","8","4","4","9","1","8","9","11","2","9","1","1","1","1","6","9","10","1","8","1","5","3","6","8","7","3","3","4",NA,"2","7","5","1","7","2","6","4","1","9","1","6","9",NA,"9","1","9","1","5","3","10","9","3","10","9","10","9","10","9","9","3","4","3","9","1","1","1","1","7","4","7","4","3","2","2","9","4","8",NA,NA,NA,NA,NA,NA,NA,"3","1","atla1278","S Africa"
