language	ISO code	subgroup	1-10	11	12	13	14	15	16	17	18	19	teens summary	20	21	22	23	24	25	26	27	28	29	30	31	32	39	40	41	49	50	51	59	60	61	69	70	71	79	80	81	89	90	91	99	crowns summary	running-numbers summary	shift in base-atom order from teens to running-numbers	100	200	300	400	500	600	700	800	900	1000	2000	Chan (2006-2015) source	additional source	additional source page
Old_Irish	sga	Celtic	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 * base	1 + 30	2 + 30	9 + 30	4 * base	1  + 40	9 + 40	5 * base	1 + 50	9 + 50	6 * base	1 + 60	9 + 60	7 * base	1 + 70	9 + 70	8 * base	1 + 80	9 + 80	9 * base	1 + 90	9 + 90	base not10	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000			"Pokorny, Julius. 1983. A concise Old Irish grammar and reader; Part 1: Grammar Halle: Niemeyer."	73-74
Scots_Gaelic	gla	Celtic	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	10 + 20	1 + 10 + 20	2 + 10 + 20	9 + 10 + 20	2 * 20	1 + 2 * 20	9 + 2 * 20	2 * 20 + 10	1 + 10 + 2 * 20	9 + 10 + 2 * 20	3 * 20	1 + 3 * 20	9 + 3 * 20	3 * 20 + 10	1  + 10 + 3 * 20	9 + 10 + 3 * 20	4 * 20	1 + 4 * 20	9 + 4 * 20	4 * 20 + 10	1 +10 + 4 * 20	9 + 10 +4 * 20	base 20	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/ScotGaelic.htm	"Stewart, Alexander. 1886. Elements of Gaelic grammar Edinburgh: MacLachlan & Stewart."	59
Irish_A	gle	Celtic	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base / atom	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Irish.htm		
Welsh_N	cym	Celtic	atom	1 + 10 / 1*10+1	2 + 10 / 1*10+2	3 + 10 / 1*10+3	4 + 10 / 1*10+4	5 + 10 / 1*10+5	1 + base / 1*10+6	2 + base / 1*10+7	2 x 9 / 1*10+8	4 + base / 1*10+9	atom + 10 / 1*10 + atom	atom / 2 * 10	20 + 1/ 1 + 20	20 + 2/ 2 + 20	20 + 3/3 + 20	20 + 4/ 4 + 20	20 + 5/ 5 + 20	20 + 6/ 6+ 20	20 + 7/7 + 20	20 + 8/8 + 20 	20 + 9/9 + 20	10 + 20 / 2 * 10	11 + 20 / 30 + 1	12 + 20 / 30 + 2	19 + 20 / 30 + 9	2 * 20 / 4*10	1 + 2 * 20 / 40 + 1	9 + 2 * 20 / 40 + 9	10 + 2 * 20 / 5 * 10 / 1/2 of 100	1 + 50 / 50 + 1	9 + 50 / 50 + 9	3 * 20 / 6 * 10	1 + 3 * 20 / 60 + 1	9 + 3 * 20 / 60 + 9	10 + 3 * 20 / 7 * 10	11 + 3 * 20 / 70 + 1	19 + 3 * 20 / 70 + 9	4 * 20 / 8*10	1 + 4 * 20 / 80 + 1	9 + 4 * 20 / 80 + 9	10 + 4 * 20 / 9*10	11 + 4 * 20 / 90+1	19 + 4 * 20 / 90 + 9	base 20 / base 10	base + atom / atom + base	multiple orders throughout	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000		http://lingweb.eva.mpg.de/numeral/Welsh.htm	"King, Gareth. 2003. Modern Welsh: A comprehensive grammar London: Routledge."	113
Cornish	cor	Celtic	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	10 + 20	11 + 20	12 + 20	19 + 20	2 * 20	1 + 2 * 20	9 + 2 * 20	10 + 2 * 20	11 + 2 * 20	19 + 2 * 20	3 * 20	1 + 3 * 20	9 + 3 * 20	10 + 3*20	11 + 3 * 20	19 + 3 * 20	4 * 20	1 + 4 * 20	9 + 4 * 20	10+ 4 * 20	11 + 4 * 20	19 + 4 * 20	base 20	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000 / 10 * 100	2 * 1000	http://lingweb.eva.mpg.de/numeral/Cornish.htm	"Norris, Edwin. 1859. Sketch of Cornish grammar Oxford: Oxford University Press. / Williams, Nicholas J. A. 1997. Clappya Kernowek: An introduction to Unified Cornish Revised Dublin: University College Dublin."	24-25 / 59
Breton_List	bre	Celtic	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	3 x 6	9 + 10	atom + 10	atom	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 * base	1 + 30	2 + 30	9 + 30	2 * 20	1 + 2 * 20	9 + 2 * 20	1/2 of 100	1 + 50	9 + 50	3 * 20	1 + 3 * 20	9 + 3 * 20	10 + 3 * 20	11 + 3 * 20	19 + 3 * 20	4 * 20	1 + 4 * 20	9 + 4 * 20	10 + 4 * 20	11 + 4 * 20	19 + 4 * 20	base 20	atom + base	stays atom + base	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000		http://lingweb.eva.mpg.de/numeral/Breton.htm	"Press, Ian. 1986. A grammar of Modern Breton Berlin: Mouton de Gruyter."	86ff
Latin	lat	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10 / 20 - 2	9 + 10 / 20 - 1	atom + 10	atom	20 + 1/ 1 + 20	20 + 2/ 2 + 20	20 + 3/3 + 20	20 + 4/ 4 + 20	20 + 5/ 5 + 20	20 + 6/ 6+ 20	20 + 7/7 + 20	20 + 8/8 + 20 / 30-2	20 + 9/9 + 20 / 30-1	3 * base	30 + 1/ 1 + 30	30 + 2/ 2 + 30	30 + 9/ 9 + 30 / 40-1	4 * base	40 + 1/ 1 + 40	40 + 9/ 9 + 40 / 50-1	5 * base	50 + 1/ 1 + 50	50 + 9/ 9+ 50 / 60-1	6 * base	60 + 9/9 + 60	60 + 9/ 9 + 60/70-1	7 * base	70 + 9/ 9 + 70	70 + 9/ 9 + 70 / 80-1	8 * base	80 + 9/9 + 80	80 + 9/ 9 + 80 / 90-1	9 * base	90 + 1/ 1 + 90	90 + 9/ 9 + 90	base not10	atom + base / base + atom / higher base - atom	changes from atom + base to either order	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Latin.htm	"Bennett, C. E. . 1908. A Latin grammar Boston: Allyn and Bacon."	45ff
Romanian_List	ron	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	2 * 10	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * 10	30 + 1	30 + 2	30 + 9	4 * 10	40 + 1	40 + 9	5 * 10	50 + 1	50 + 9	6 * 10	60 + 1	60 + 9	7 * 10	70 + 1	70 + 9	8 * 10 	80 + 1	80 + 9	9 * 10	90 + 1	90 + 9	base 10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Rumanian.htm	"Cococaru, Dana. 2004. Romanian grammar: SEELRC."	103
Vlach	rup	Romance	atom	1 + 10	2 + 10	3 + 10	4 + 10	5 + 10	6 + 10	7 + 10	8 + 10	9 + 10	atom + 10	atom	1 + 20	2 + 20	3 + 20	4 + 20	5 + 20	6 + 20	7 + 20	8 + 20	9 + 20	3 * 10	30 + 1	30 + 2	30 + 9	4 * 10	40 + 1	40 + 9	5 * 10	50 + 1	50 + 9	6 * 10	60 + 1	60 + 9	7 * 10	70 + 1	70 + 9	8 * 10 	80 + 1	80 + 9	9 * 10	90 + 1	90 + 9	base 10	base + atom	changes from atom + base to base + atom	1 * 100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000		"Capidan, Theodor. 1932. Aromânii Dialectul Aromân Bucarest: Cultura Na_ional_."	402ff
Catalan	cat	Romance	atom	atom	2 + base	3 + base	4 + base	5 + base	6 + base	10 + 7	10 + 8	10 + 9	atom + base	atom	20 + 1	20 + 2	20 + 3	20 + 4	20 + 5	20 + 6	20 + 7	20 + 8	20 + 9	3 * base	30 + 1	30 + 2	30 + 9	4 * base	40 + 1	40 + 9	5 * base	50 + 1	50 + 9	6 * base	60 + 1	60 + 9	7 * base	70 + 1	70 + 9	8 * base	80 + 1	80 + 9	9 * base	90 + 1	90 + 9	base not10	base + atom	changes from atom + base to base + atom	100	2 * 100	3 * 100	4 * 100	5 * 100	6 * 100	7 * 100	8 * 100	9 * 100	1000	2 * 1000	http://lingweb.eva.mpg.de/numeral/Catalan.htm	"Wheeler, Max W., Alan Yates & Nicolau Dols. 1999. Catalan: A comprehensive grammar London: Routledge."	150
